datetime,PM2.5,PM10,O3,CO,NO2
2021-12-05 13:00:00,42,82,35.0,1.32,46.0
2021-12-05 14:00:00,32,82,35.0,1.32,46.0
2021-12-05 15:00:00,36,74,35.0,1.32,46.0
2021-12-05 16:00:00,33,78,35.0,1.32,46.0
2021-12-05 17:00:00,37,74,35.0,1.32,46.0
2021-12-05 18:00:00,38,82,35.0,1.32,46.0
2021-12-05 19:00:00,39,80,9.0,1.84,56.0
2021-12-05 20:00:00,39,80,6.0,1.81,61.0
2021-12-05 21:00:00,50,84,6.0,1.69,57.0
2021-12-05 22:00:00,44,80,7.0,1.61,52.0
2021-12-05 23:00:00,47,83,12.0,1.38,43.0
2021-12-06 00:00:00,39,82,15.0,1.47,38.0
2021-12-06 01:00:00,35,79,17.0,1.5,35.0
2021-12-06 02:00:00,40,83,7.0,1.64,41.0
2021-12-06 03:00:00,38,82,14.0,1.53,32.0
2021-12-06 04:00:00,36,79,6.0,1.72,45.0
2021-12-06 05:00:00,39,75,2.0,2.04,53.0
2021-12-06 06:00:00,39,83,2.0,2.46,55.0
2021-12-06 07:00:00,38,101,2.0,2.62,59.0
2021-12-06 08:00:00,43,112,6.0,2.18,54.0
2021-12-06 09:00:00,49,115,15.0,1.84,45.0
2021-12-06 10:00:00,50,104,21.0,1.69,46.0
2021-12-06 11:00:00,47,92,31.0,1.61,41.0
2021-12-06 12:00:00,44,90,36.0,1.68,48.0
2021-12-06 13:00:00,40,86,36.0,1.68,48.0
2021-12-06 14:00:00,38,81,36.0,1.49,44.0
2021-12-06 15:00:00,32,74,33.0,1.63,55.0
2021-12-06 16:00:00,29,74,35.0,1.57,49.0
2021-12-06 17:00:00,33,73,20.0,2.06,60.0
2021-12-06 18:00:00,34,71,11.0,2.39,64.0
2021-12-06 19:00:00,34,75,7.0,2.55,61.0
2021-12-06 20:00:00,34,80,4.0,2.51,64.0
2021-12-06 21:00:00,32,86,3.0,2.22,64.0
2021-12-06 22:00:00,33,92,6.0,2.15,56.0
2021-12-06 23:00:00,37,95,9.0,1.76,45.0
2021-12-07 00:00:00,40,99,5.0,1.94,49.0
2021-12-07 01:00:00,55,110,3.0,1.82,49.0
2021-12-07 02:00:00,65,115,4.0,1.83,46.0
2021-12-07 03:00:00,57,109,7.0,1.6,46.0
2021-12-07 04:00:00,54,109,3.0,1.89,56.0
2021-12-07 05:00:00,47,110,3.0,2.25,64.0
2021-12-07 06:00:00,44,106,4.0,2.77,62.0
2021-12-07 07:00:00,52,104,6.0,2.69,55.0
2021-12-07 08:00:00,55,108,12.0,2.11,51.0
2021-12-07 09:00:00,56,104,13.0,2.11,57.0
2021-12-07 10:00:00,56,92,17.0,1.93,61.0
2021-12-07 11:00:00,51,95,22.0,1.94,60.0
2021-12-07 12:00:00,48,99,24.0,1.94,60.0
2021-12-07 13:00:00,51,102,24.0,2.17,82.0
2021-12-07 14:00:00,50,107,22.0,2.09,85.0
2021-12-07 15:00:00,45,106,31.0,1.97,76.0
2021-12-07 16:00:00,43,102,24.0,2.12,86.0
2021-12-07 17:00:00,43,98,26.0,2.31,77.0
2021-12-07 18:00:00,45,96,7.0,3.06,97.0
2021-12-07 19:00:00,49,104,8.0,2.65,84.0
2021-12-07 20:00:00,52,109,3.0,2.83,81.0
2021-12-07 21:00:00,52,114,1.0,2.85,77.0
2021-12-07 22:00:00,52,124,3.0,2.75,74.0
2021-12-07 23:00:00,51,127,5.0,1.99,62.0
2021-12-08 00:00:00,48,116,8.0,1.74,51.0
2021-12-08 01:00:00,50,103,12.0,1.42,45.0
2021-12-08 02:00:00,53,96,7.0,1.51,54.0
2021-12-08 03:00:00,47,97,3.0,1.79,62.0
2021-12-08 04:00:00,45,103,5.0,1.75,67.0
2021-12-08 05:00:00,44,108,2.0,1.92,67.0
2021-12-08 06:00:00,45,113,4.0,2.72,63.0
2021-12-08 07:00:00,51,115,7.0,2.43,64.0
2021-12-08 08:00:00,54,112,7.0,2.46,64.0
2021-12-08 09:00:00,54,112,9.0,2.2,67.0
2021-12-08 10:00:00,53,113,16.0,1.88,64.0
2021-12-08 11:00:00,50,110,21.0,1.88,64.0
2021-12-08 12:00:00,46,106,21.0,1.5,72.0
2021-12-08 13:00:00,43,106,37.0,0.89,65.0
2021-12-08 14:00:00,38,102,30.0,0.74,66.0
2021-12-08 15:00:00,32,92,40.0,0.59,52.0
2021-12-08 16:00:00,36,81,29.0,1.04,64.0
2021-12-08 17:00:00,38,79,23.0,1.31,71.0
2021-12-08 18:00:00,34,79,17.0,1.17,75.0
2021-12-08 19:00:00,34,78,4.0,2.07,79.0
2021-12-08 20:00:00,37,83,2.0,1.86,80.0
2021-12-08 21:00:00,40,95,3.0,1.3,69.0
2021-12-08 22:00:00,41,103,5.0,0.91,60.0
2021-12-08 23:00:00,46,105,11.0,0.7,51.0
2021-12-09 00:00:00,49,109,7.0,0.93,53.0
2021-12-09 01:00:00,51,111,7.0,0.84,55.0
2021-12-09 02:00:00,50,112,11.0,0.67,49.0
2021-12-09 03:00:00,48,117,8.0,0.67,50.0
2021-12-09 04:00:00,48,124,5.0,0.8,56.0
2021-12-09 05:00:00,45,130,4.0,1.06,56.0
2021-12-09 06:00:00,42,136,3.0,1.56,60.0
2021-12-09 07:00:00,43,129,5.0,2.03,63.0
2021-12-09 08:00:00,47,123,9.0,1.78,53.0
2021-12-09 09:00:00,51,116,11.0,1.55,59.0
2021-12-09 10:00:00,48,108,21.0,1.55,59.0
2021-12-09 11:00:00,39,92,21.0,0.92,42.0
2021-12-09 12:00:00,34,80,28.0,1.01,51.0
2021-12-09 13:00:00,34,84,24.0,1.04,54.0
2021-12-09 14:00:00,32,80,32.0,0.85,44.0
2021-12-09 15:00:00,24,67,28.0,1.11,56.0
2021-12-09 16:00:00,25,64,25.0,1.33,61.0
2021-12-09 17:00:00,28,69,18.0,1.43,67.0
2021-12-09 18:00:00,29,70,12.0,1.4,62.0
2021-12-09 19:00:00,29,69,7.0,1.87,77.0
2021-12-09 20:00:00,28,75,5.0,1.88,75.0
2021-12-09 21:00:00,30,78,6.0,1.42,58.0
2021-12-09 22:00:00,34,81,5.0,1.48,57.0
2021-12-09 23:00:00,37,86,4.0,1.37,51.0
2021-12-10 00:00:00,43,89,3.0,1.13,50.0
2021-12-10 01:00:00,50,102,2.0,1.11,46.0
2021-12-10 02:00:00,49,111,2.0,1.03,44.0
2021-12-10 03:00:00,43,113,4.0,0.94,42.0
2021-12-10 04:00:00,38,114,2.0,0.9,42.0
2021-12-10 05:00:00,32,113,2.0,1.19,46.0
